SRR11105867	cortex-p056-cb_037
SRR11105868	cortex-p056-cb_036
SRR11105869	cortex-p056-cb_035
SRR11105870	cortex-p056-cb_034
SRR11105871	cortex-p056-cb_033
SRR11105872	cortex-p056-cb_032
SRR11105873	cortex-p056-cb_031
SRR11105875	cortex-p056-cb_030
SRR11105876	cortex-p056-cb_029
SRR11105877	cortex-p056-cb_028
SRR11105878	cortex-p056-cb_027
SRR11105879	cortex-p056-cb_026
SRR11105880	cortex-p056-cb_025
SRR11105881	cortex-p056-cb_024
SRR11105882	cortex-p056-cb_023
SRR11105883	cortex-p056-cb_022
SRR11105886	cortex-p056-cb_020
SRR11105887	cortex-p056-cb_019
SRR11105888	cortex-p056-cb_018
SRR11105890	cortex-p056-cb_016
SRR11105891	cortex-p056-cb_015
SRR11105892	cortex-p056-cb_014
SRR11105893	cortex-p056-cb_013
SRR11105894	cortex-p056-cb_012
SRR11105895	cortex-p056-cb_011
SRR11105897	cortex-p056-cb_010
SRR11105898	cortex-p056-cb_009
SRR11105899	cortex-p056-cb_008
SRR11105900	cortex-p056-cb_007
SRR11105901	cortex-p056-cb_006
SRR11105902	cortex-p056-cb_005
SRR11105903	cortex-p056-cb_004
SRR11105904	cortex-p056-cb_003
SRR11105905	cortex-p056-cb_002
SRR11105906	cortex-p056-cb_001
SRR11105909	cortex-p028-cb_239
SRR11105910	cortex-p028-cb_238
SRR11105911	cortex-p028-cb_237
SRR11105912	cortex-p028-cb_236
SRR11105913	cortex-p028-cb_235
SRR11105914	cortex-p028-cb_234
SRR11105915	cortex-p028-cb_233
SRR11105916	cortex-p028-cb_232
SRR11105917	cortex-p028-cb_231
SRR11105918	cortex-p001-cb_072
SRR11105919	cortex-p028-cb_230
SRR11105920	cortex-p028-cb_229
SRR11105921	cortex-p028-cb_228
SRR11105924	cortex-p007-cb_158
SRR11105926	cortex-p007-cb_156
SRR11105927	cortex-p007-cb_155
SRR11105929	cortex-p007-cb_153
SRR11105930	cortex-p001-cb_045
SRR11105931	cortex-p007-cb_152
SRR11105932	cortex-p007-cb_151
SRR11105933	cortex-p007-cb_150
SRR11105934	cortex-p007-cb_149
SRR11105937	cortex-p007-cb_146
SRR11105938	cortex-p007-cb_145
SRR11105939	cortex-p007-cb_144
SRR11105940	cortex-p007-cb_143
SRR11105941	cortex-p001-cb_044
SRR11105942	cortex-p007-cb_142
SRR11105943	cortex-p007-cb_141
SRR11105944	cortex-p007-cb_140
SRR11105945	cortex-p007-cb_139
SRR11105946	cortex-p007-cb_138
SRR11105948	cortex-p007-cb_136
SRR11105949	cortex-p007-cb_135
SRR11105950	cortex-p007-cb_134
SRR11105951	cortex-p007-cb_133
SRR11105953	cortex-p007-cb_132
SRR11105954	cortex-p028-cb_170
SRR11105955	cortex-p028-cb_169
SRR11105956	cortex-p028-cb_168
SRR11105957	cortex-p028-cb_167
SRR11105958	cortex-p028-cb_166
SRR11105960	cortex-p028-cb_164
SRR11105961	cortex-p028-cb_163
SRR11105962	cortex-p028-cb_162
SRR11105963	cortex-p028-cb_161
SRR11105965	cortex-p028-cb_160
SRR11105966	cortex-p028-cb_159
SRR11105967	cortex-p028-cb_158
SRR11105968	cortex-p028-cb_157
SRR11105969	cortex-p028-cb_156
SRR11105970	cortex-p028-cb_155
SRR11105971	cortex-p028-cb_154
SRR11105972	cortex-p028-cb_153
SRR11105973	cortex-p028-cb_152
SRR11105974	cortex-p028-cb_151
SRR11105976	cortex-p028-cb_150
SRR11105977	cortex-p028-cb_149
SRR11105978	cortex-p028-cb_148
SRR11105979	cortex-p028-cb_147
SRR11105980	cortex-p028-cb_146
SRR11105981	cortex-p028-cb_145
SRR11105982	cortex-p028-cb_144
SRR11105983	cortex-p028-cb_143
SRR11105984	cortex-p028-cb_142
SRR11105985	cortex-p028-cb_141
SRR11105986	cortex-p007-cb_189
SRR11105987	cortex-p007-cb_188
SRR11105988	cortex-p007-cb_187
SRR11105989	cortex-p007-cb_186
SRR11105990	cortex-p007-cb_185
SRR11105993	cortex-p001-cb_048
SRR11105996	cortex-p007-cb_180
SRR11105997	cortex-p007-cb_179
SRR11105998	cortex-p007-cb_178
SRR11106001	cortex-p007-cb_175
SRR11106002	cortex-p007-cb_174
SRR11106003	cortex-p007-cb_173
SRR11106004	cortex-p001-cb_047
SRR11106009	cortex-p007-cb_168
SRR11106010	cortex-p007-cb_167
SRR11106011	cortex-p007-cb_166
SRR11106014	cortex-p007-cb_163
SRR11106015	cortex-p001-cb_046
SRR11106016	cortex-p007-cb_162
SRR11106017	cortex-p007-cb_161
SRR11106018	cortex-p028-cb_054
SRR11106019	cortex-p028-cb_053
SRR11106021	cortex-p028-cb_051
SRR11106023	cortex-p028-cb_050
SRR11106024	cortex-p028-cb_049
SRR11106025	cortex-p028-cb_048
SRR11106026	cortex-p028-cb_047
SRR11106027	cortex-p028-cb_046
SRR11106028	cortex-p028-cb_045
SRR11106029	cortex-p028-cb_044
SRR11106031	cortex-p028-cb_042
SRR11106032	cortex-p028-cb_041
SRR11106035	cortex-p028-cb_039
SRR11106036	cortex-p028-cb_038
SRR11106038	cortex-p028-cb_036
SRR11106040	cortex-p028-cb_034
SRR11106041	cortex-p028-cb_033
SRR11106042	cortex-p028-cb_032
SRR11106043	cortex-p028-cb_031
SRR11106045	cortex-p028-cb_030
SRR11106046	cortex-p028-cb_029
SRR11106047	cortex-p028-cb_028
SRR11106048	cortex-p028-cb_027
SRR11106049	cortex-p028-cb_026
SRR11106050	cortex-p007-cb_044
SRR11106051	cortex-p007-cb_043
SRR11106052	cortex-p001-cb_034
SRR11106053	cortex-p007-cb_042
SRR11106054	cortex-p007-cb_041
SRR11106055	cortex-p007-cb_040
SRR11106056	cortex-p007-cb_039
SRR11106057	cortex-p007-cb_038
SRR11106058	cortex-p007-cb_037
SRR11106059	cortex-p007-cb_036
SRR11106060	cortex-p007-cb_035
SRR11106061	cortex-p007-cb_034
SRR11106062	cortex-p007-cb_033
SRR11106064	cortex-p007-cb_032
SRR11106065	cortex-p007-cb_031
SRR11106066	cortex-p007-cb_030
SRR11106067	cortex-p007-cb_029
SRR11106068	cortex-p007-cb_028
SRR11106069	cortex-p007-cb_027
SRR11106070	cortex-p007-cb_026
SRR11106071	cortex-p007-cb_025
SRR11106073	cortex-p007-cb_023
SRR11106075	cortex-p007-cb_022
SRR11106076	cortex-p007-cb_021
SRR11106077	cortex-p007-cb_020
SRR11106078	cortex-p007-cb_019
SRR11106079	cortex-p007-cb_018
SRR11106080	cortex-p007-cb_017
SRR11106081	cortex-p007-cb_016
SRR11106082	cortex-p001-cb_275
SRR11106083	cortex-p001-cb_274
SRR11106084	cortex-p001-cb_273
SRR11106085	cortex-p001-cb_272
SRR11106086	cortex-p001-cb_271
SRR11106087	cortex-p001-cb_028
SRR11106088	cortex-p001-cb_270
SRR11106089	cortex-p001-cb_269
SRR11106091	cortex-p001-cb_267
SRR11106092	cortex-p001-cb_266
SRR11106094	cortex-p001-cb_264
SRR11106095	cortex-p001-cb_263
SRR11106096	cortex-p001-cb_262
SRR11106097	cortex-p001-cb_261
SRR11106099	cortex-p001-cb_260
SRR11106100	cortex-p001-cb_259
